Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
1/3/21 12.00 AM;6.35;3.28;0.07;3.85;13;0;0;0;0;0;0;0;0;0;0
1/3/21 6.00 AM;13.68;4.97;0.52;6.24;27;0;13;0;0;0;0;0;0;0;0
1/3/21 8.00 AM;11.97;19.66;3.33;25.23;24;30;0;8;8;0;0;0;0;0;0
1/3/21 10.00 AM;17.83;18.45;4.11;25.21;36;30;13;8;0;0;0;0;0;24;43
1/3/21 12.00 PM;16.61;10.24;2.09;13.9;33;30;0;0;0;0;0;0;0;24;0
1/3/21 2.00 PM;47.62;12.75;3.45;18.5;95;30;13;0;0;0;0;0;0;0;43
1/3/21 4.00 PM;23.69;13.61;4.07;20.31;47;0;13;0;0;0;0;0;0;24;0
1/3/21 6.00 PM;16.36;18.52;2.89;23.41;33;30;0;0;0;0;0;0;0;0;0
1/3/21 8.00 PM;19.05;27.54;1.94;30.98;38;0;13;8;8;18;18;0;0;0;43
1/3/21 10.00 PM;20.76;19.62;0.72;21.18;42;30;0;8;0;18;0;0;0;0;0
2/3/21 12.00 AM;24.42;6.57;0.05;7.11;49;0;13;8;0;18;18;0;0;24;43
2/3/21 4.00 AM;25.15;3.33;0.07;3.89;50;30;0;8;0;18;0;0;0;0;43
2/3/21 6.00 AM;17.09;10.86;0.77;12.52;34;30;0;8;0;0;18;0;0;0;43
2/3/21 8.00 AM;14.41;53;31.58;101.88;51;0;13;8;0;0;18;0;0;0;43
2/3/21 10.00 AM;21.49;37.81;18.09;66.01;43;0;13;8;0;0;18;0;0;0;43
2/3/21 12.00 PM;27.59;16.8;5.14;25.15;55;0;0;8;0;18;18;0;0;24;0
2/3/21 2.00 PM;30.04;10.78;2.91;15.71;60;0;0;8;0;18;18;0;0;0;0
2/3/21 4.00 PM;55.19;12.65;2.95;17.64;110;0;13;8;0;18;18;0;0;24;0
2/3/21 6.00 PM;33.94;34.66;8.9;48.76;68;0;13;8;0;18;18;0;0;0;43
2/3/21 8.00 PM;25.64;66.21;15.84;90.95;51;0;13;8;0;18;18;0;0;0;0
2/3/21 10.00 PM;30.04;40.18;5.42;48.95;60;0;13;8;0;18;0;0;0;24;43
3/3/21 12.00 AM;39.56;12.41;0.24;13.23;79;0;13;8;0;18;0;0;0;0;0
3/3/21 2.00 AM;42.49;5.68;0.1;6.3;85;0;13;8;0;18;18;0;0;24;0
3/3/21 4.00 AM;38.1;5.37;0.53;6.65;76;0;13;8;0;0;18;0;0;0;0
3/3/21 6.00 AM;31.99;7.43;0.4;8.5;64;0;13;8;0;18;18;0;0;24;0
3/3/21 8.00 AM;27.35;28.31;5.24;36.81;55;0;0;8;0;18;18;0;0;0;0
3/3/21 10.00 AM;30.28;26.21;5.58;35.23;61;0;0;8;0;18;18;0;0;0;43
3/3/21 12.00 PM;26.62;13.49;3.67;19.58;53;0;0;8;0;0;18;0;0;0;0
3/3/21 2.00 PM;51.53;12.01;2.63;16.51;103;30;13;8;0;18;18;14;12;24;0
3/3/21 4.00 PM;25.64;13.66;2.01;17.21;51;0;0;8;0;18;18;0;0;0;43
3/3/21 6.00 PM;15.14;30.2;6.19;40.15;30;0;0;8;0;18;0;0;0;0;0
3/3/21 8.00 PM;19.78;63.42;8.33;76.64;40;0;0;8;0;18;18;0;0;0;0
3/3/21 10.00 PM;21.49;32.53;2.69;37.11;43;0;0;8;0;0;18;14;0;24;0
4/3/21 12.00 AM;32.97;14.08;0.79;15.75;66;30;0;8;0;18;18;14;0;0;0
4/3/21 2.00 AM;26.37;5.64;0.03;6.14;53;0;0;8;0;18;18;14;0;0;43
4/3/21 4.00 AM;27.11;4.63;0.13;5.3;54;0;0;8;0;18;18;0;12;0;0
4/3/21 6.00 AM;29.06;10.19;0.8;11.88;58;0;0;8;0;18;18;14;12;24;0
4/3/21 8.00 AM;18.07;32.32;13.01;52.73;36;0;0;8;0;18;18;0;12;0;43
4/3/21 10.00 AM;31.01;32.11;11.77;50.62;62;0;0;8;0;18;18;14;0;0;0
4/3/21 12.00 PM;39.56;30.81;6.59;41.38;79;30;13;8;0;18;18;0;12;0;43
4/3/21 2.00 PM;33.46;17.74;2.7;22.34;67;30;0;8;8;18;18;14;12;24;0
4/3/21 4.00 PM;27.59;15.77;2.63;20.27;55;0;0;0;8;18;18;14;0;24;0
4/3/21 6.00 PM;18.8;28.76;4.11;35.52;38;0;0;0;8;18;18;14;0;24;43
4/3/21 8.00 PM;12.7;17.66;0.9;19.5;25;0;0;0;8;18;18;14;0;24;0
4/3/21 10.00 PM;21.98;12.08;0.52;13.34;44;0;13;0;8;18;18;14;0;24;43
5/3/21 12.00 AM;22.95;8.87;1.21;11.19;46;0;13;0;8;18;18;14;0;24;0
5/3/21 2.00 AM;17.34;7.81;0.98;9.77;35;0;13;0;8;18;18;14;0;24;43
5/3/21 6.00 AM;33.46;6.04;0.12;6.69;67;30;13;0;0;18;18;0;0;24;43
5/3/21 8.00 AM;24.42;27.22;6.35;37.42;49;0;13;0;0;18;18;0;0;24;43
5/3/21 10.00 AM;16.61;23.75;4.03;30.4;33;0;13;0;0;18;18;0;0;24;43
5/3/21 12.00 PM;27.59;14.7;2.2;18.54;55;0;0;0;0;18;18;0;0;0;43
5/3/21 2.00 PM;52.01;18.2;3.17;23.52;104;30;13;0;0;18;18;0;0;0;43
5/3/21 4.00 PM;25.89;16.54;2.76;21.23;52;30;0;0;0;18;18;0;0;0;43
5/3/21 6.00 PM;20.51;34.93;5.55;43.89;41;30;13;0;0;18;18;0;0;24;0
5/3/21 8.00 PM;11.72;32.38;1.75;35.53;23;30;0;0;0;18;18;14;12;0;0
5/3/21 10.00 PM;27.84;22.45;1.17;24.7;56;30;13;0;0;18;18;14;12;24;0
6/3/21 12.00 AM;26.62;10.31;1.27;12.72;53;0;13;0;0;18;18;14;12;0;0
6/3/21 2.00 AM;23.2;7.71;0.2;8.48;46;0;13;0;0;18;18;0;12;24;43
6/3/21 4.00 AM;24.18;4.74;0.04;5.26;48;30;13;8;8;18;18;0;12;0;43
6/3/21 6.00 AM;25.64;7.12;0.37;8.16;51;30;13;8;8;18;18;14;0;0;43
6/3/21 8.00 AM;25.4;21.23;2.82;26.01;51;30;13;8;8;18;18;14;0;0;43
6/3/21 10.00 AM;32.23;15.09;1.47;17.81;64;0;13;8;8;18;18;0;0;24;43
6/3/21 12.00 PM;48.35;12.75;3.42;18.45;97;0;13;8;8;18;18;0;0;0;43
6/3/21 2.00 PM;35.16;10.54;3.15;15.84;70;30;13;8;8;18;18;0;0;24;43
6/3/21 4.00 PM;56.9;6.83;1.15;9.06;114;30;13;8;8;18;18;14;0;0;43
6/3/21 6.00 PM;78.88;20.39;4.7;28.07;158;30;13;0;8;18;18;0;12;24;43
6/3/21 8.00 PM;39.32;43.1;13.08;63.62;79;0;13;0;8;18;18;14;12;0;43
6/3/21 10.00 PM;19.54;20.23;2.46;24.46;39;0;13;0;8;18;18;14;12;24;43
7/3/21 12.00 AM;9.77;7.43;0.26;8.3;20;0;13;0;8;18;18;14;12;0;0
7/3/21 2.00 AM;4.88;5.52;0.19;6.28;10;0;13;0;8;18;18;14;12;24;0
7/3/21 4.00 AM;2.44;2.96;0.09;3.56;5;0;13;0;8;18;18;14;12;0;0
7/3/21 6.00 AM;1.22;5.57;0.12;6.21;3;0;13;0;8;18;18;14;12;24;0
7/3/21 8.00 AM;0.98;8.18;0.81;9.89;5;0;13;0;8;0;18;14;12;0;0
7/3/21 10.00 AM;16.36;8.11;1.07;10.22;33;0;13;0;0;0;18;14;12;0;43
7/3/21 12.00 PM;10.5;10.14;2.94;15.11;21;0;13;0;0;0;18;14;12;24;43
7/3/21 2.00 PM;15.63;11.92;2.9;16.83;31;0;13;0;0;0;18;14;12;24;43
7/3/21 4.00 PM;49.33;5.56;1.06;7.65;99;30;13;0;0;0;18;0;12;0;43
7/3/21 6.00 PM;62.52;13.93;2.92;18.87;125;30;13;0;0;0;18;0;12;24;43
7/3/21 8.00 PM;31.26;26.19;2.89;31.08;63;30;13;8;8;0;18;0;12;0;0
7/3/21 10.00 PM;15.63;26.86;1.26;29.25;31;30;13;8;8;0;18;0;12;24;0
8/3/21 12.00 AM;11.97;13.71;0.17;14.44;24;30;13;8;8;0;18;0;12;0;0
8/3/21 2.00 AM;23.69;5.87;0.05;6.41;47;30;13;8;8;0;18;0;12;24;43
8/3/21 4.00 AM;23.69;6.28;1.11;8.45;47;30;13;8;8;0;18;0;12;24;0
8/3/21 6.00 AM;19.05;13.99;3.25;19.44;38;30;13;0;8;0;18;0;0;24;43
8/3/21 8.00 AM;23.69;41.92;32.78;92.64;47;30;13;0;8;0;18;0;0;24;0
8/3/21 10.00 AM;20.76;28.25;10.19;44.34;42;30;13;0;8;0;18;0;0;24;43
8/3/21 12.00 PM;28.08;26.92;9.37;41.75;56;30;13;0;8;0;18;0;0;24;0
8/3/21 2.00 PM;31.99;18.85;6.48;29.25;64;30;13;0;8;0;18;0;0;24;0
8/3/21 4.00 PM;29.55;19.89;4.77;27.67;59;30;13;0;8;0;18;0;0;24;43
8/3/21 6.00 PM;24.66;24.54;4.1;31.29;49;30;13;0;8;0;18;14;0;24;0
8/3/21 8.00 PM;27.59;35.43;8.56;49.01;55;30;13;0;8;0;18;14;12;24;43
8/3/21 10.00 PM;46.15;18.26;0.09;18.86;92;30;13;0;8;18;18;14;12;24;0
9/3/21 12.00 AM;39.07;9.35;0.03;9.86;78;0;13;0;8;18;18;14;12;24;0
9/3/21 2.00 AM;38.34;7.23;0.77;8.87;77;0;13;0;8;18;18;14;12;24;43
9/3/21 4.00 AM;36.39;4.87;0.58;6.23;73;0;13;0;8;18;18;14;12;24;0
9/3/21 6.00 AM;33.7;8.69;0.49;9.92;67;0;13;0;8;18;18;14;12;24;43
9/3/21 10.00 AM;14.41;14.59;2.95;19.58;29;0;13;8;8;18;18;14;12;24;0
9/3/21 12.00 PM;11.72;8.71;1.57;11.58;23;0;13;8;8;18;18;14;12;24;0
9/3/21 2.00 PM;6.35;7.03;1.06;9.11;13;0;13;8;8;18;18;14;0;24;0
9/3/21 4.00 PM;4.64;5.87;0.6;7.26;9;0;13;8;8;18;18;14;0;24;43
9/3/21 6.00 PM;5.37;18.1;0.74;19.69;11;0;13;8;0;18;18;0;0;24;0
9/3/21 8.00 PM;17.83;18.36;1.96;21.83;36;0;0;8;0;18;18;0;0;24;43
9/3/21 10.00 PM;29.55;16.72;1.08;18.84;59;0;0;8;0;18;18;0;0;24;43
10/3/21 12.00 AM;20.27;7.78;0.87;9.58;41;0;0;0;0;18;18;0;0;24;43
10/3/21 2.00 AM;14.16;5.76;0.29;6.66;28;0;0;0;0;18;18;0;0;24;43
10/3/21 6.00 AM;7.81;3.98;0.09;4.59;16;0;0;0;0;18;18;0;0;24;43
10/3/21 8.00 AM;9.52;12.03;0.9;13.87;19;0;0;0;0;18;18;0;0;24;43
10/3/21 10.00 AM;21.25;13.12;2.06;16.75;42;0;0;0;0;18;18;0;0;24;43
10/3/21 12.00 PM;46.64;7.18;1.06;9.27;93;30;0;8;8;18;18;0;0;24;43
10/3/21 2.00 PM;23.2;13.54;5.68;22.71;46;30;0;8;8;18;18;0;0;24;43
10/3/21 4.00 PM;11.48;12.51;3.96;19.05;23;30;13;8;8;18;18;0;0;24;43
10/3/21 6.00 PM;13.68;16.52;2.28;20.48;27;0;13;8;8;18;18;0;0;24;43
10/3/21 8.00 PM;9.52;17.15;0.78;18.81;19;0;13;8;8;18;18;0;0;24;43
10/3/21 10.00 PM;18.07;9.06;0.04;9.59;36;0;13;8;8;18;18;0;0;24;43
